Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4148127785,https://www.linkedin.com/jobs/view/4148127785,Pending,Unknown,2025-03-08 17:50:16.031151,Found Blacklisted words in About Company,Failed to find an element with given classes,Skipped,Not Available
4164567561,https://www.linkedin.com/jobs/view/4164567561,Pending,Unknown,2025-03-08 17:50:18.340691,Found Blacklisted words in About Company,Failed to find an element with given classes,Skipped,Not Available
4156979966,https://www.linkedin.com/jobs/view/4156979966,Pending,Unknown,2025-03-08 17:50:20.762370,Found Blacklisted words in About Company,Failed to find an element with given classes,Skipped,Not Available
4106884739,https://www.linkedin.com/jobs/view/4106884739,Pending,Unknown,2025-03-08 17:50:23.114201,Found Blacklisted words in About Company,Failed to find an element with given classes,Skipped,Not Available
4144127967,https://www.linkedin.com/jobs/view/4144127967,Pending,Unknown,2025-03-08 17:50:28.977409,Required experience is high,"
Acerca del empleo
Overview

How You’ll Make an Impact

At Epsilon, we act with integrity, work together to win, and innovate with purpose. In this role, you will have the opportunity to collaborate with sales teams and stakeholders, bridge the gap between business and technology, and make a measurable impact on our company’s success. If you are passionate about data science, geospatial analytics, and solving complex business challenges, this is the perfect opportunity for you.

We are looking for an Analytics Engineer to join our Audience Lab team, reporting to our Data Science Lead. At Epsilon, you will play a key role in transforming business requirements into scalable technical solutions within our Big Data ecosystem. You will work cross-functionally with Technology and Customer Success Managers to address business needs and deliver high-quality results. Your work will directly contribute to custom audience generation, insights development, and reporting, helping our clients achieve their goals.

What You’ll Achieve

Use your expertise to research and recommend approaches to solving our technology and business problems.
Generate custom audiences, insights, and reports by leveraging multiple data sources.
Design and develop processes that help monitor and maintain data quality.
Collaborate with Customer Success and Technology teams to translate business needs into actionable technical deliverables.
Develop dashboards with Metabase, Power BI to deliver routine reports to clients and internal stakeholders. These dashboards will provide insights to program performance, business impact and activity monitoring to identify and address execution errors.
Propose analytical solutions based on business needs and understanding.
Identify data sources relevant to business needs.
Communicate findings and solutions effectively to both technical and non-technical audiences.
Develop and implement Data Services processes that support scalable data-driven solutions.
Build and optimize machine learning models to drive business insights and decision-making.
Continuously explore and adopt new technologies to improve efficiency and innovation.

Who You Are

What you’ll bring with you:
4+ years of experience with SQL and Python.
2+ years of experience working with AWS and PySpark.
Experience in dashboard development (Metabase preferred).
Proficiency in Data Science, including machine learning model training and spatial data transformation.
Hands-on experience with geospatial data processing and analysis.
Strong knowledge of Big Data technologies and frameworks.
Experience with version control systems, particularly GitHub.
Passion for learning new technologies and solving complex data challenges.
Strong analytical and problem-solving skills.
Proven ability to work cross-functionally with sales, technology, and customer success teams.
Experience in presenting and communicating insights to executives and stakeholders.
Why you might stand out from other talent:
Experience with cloud-based data pipelines and automation.
Familiarity with business intelligence tools beyond Metabase.
Strong background in statistical analysis and predictive modeling.
Experience working with high-volume datasets in a production environment.
Additional Information

When You Join Us, We’ll Create Something EPIC Together

Epsilon is a global data, technology and services company that powers the marketing and advertising ecosystem. For decades, we’ve provided marketers from the world’s leading brands the data, technology and services they need to engage consumers with 1 View, 1 Vision and 1 Voice. 1 View of their universe of potential buyers. 1 Vision for engaging each individual. And 1 Voice to harmonize engagement across paid, owned and earned channels.

Epsilon’s comprehensive portfolio of capabilities across our suite of digital media, messaging and loyalty solutions bridge the divide between marketing and advertising technology. We process 400+ billion consumer actions each day using advanced AI and hold many patents of proprietary technology, including real-time modeling languages and consumer privacy advancements. Thanks to the work of every employee, Epsilon has been consistently recognized as industry-leading by Forrester, Adweek and the MRC. Epsilon is a global company with more than 9,000 employees around the world.

Epsilon Has a Core Set Of 5 Values That Define Our Culture And Guide Us To Create Value For Our Clients, Our People And Consumers. We Are Seeking Candidates That Align With Our Company Values, Demonstrate Them And Make Them Meaningful In Their Day-to-day Work

Act with integrity. We are transparent and have the courage to do the right thing.
Work together to win together. We believe collaboration is the catalyst that unlocks our full potential.
Innovate with purpose. We shape the market with big ideas that drive big outcomes.
Respect all voices. We embrace differences and foster a culture of connection and belonging.
Empower with accountability. We trust each other to own and deliver on common goals.

Because You Matter

Benefits

As an Epsilon employee, you deserve perks and benefits that put you, your family and your finances first. Our benefits encompass a wide range of offerings, including but not limited to the following:

Time to Recharge: 15 days of holidays, LATAM rest week at the end of the year, flex-Fridays (working until noon every other week)
Family Well-Being: Parental/new child benefits
Extra Perks: Hybrid work scheme, medical insurance, language training (English and/or Portuguese), professional development, employee recognition, health awareness benefits, home internet fee.

Experience required 4 > Current Experience 3. Skipping this job!
",Skipped,Not Available
4172843687,https://www.linkedin.com/jobs/view/4172843687,Pending,Unknown,2025-03-08 18:10:20.314636,Required experience is high,"
Acerca del empleo
Title: IT System Analyst / Application Engineer
Location: Argentina (remote)

Role Summary
Seeking an IT System Analyst / Application Engineer to support, enhance, and maintain enterprise applications within its IT ecosystem. The candidate will work closely with business stakeholders, IT teams, and external vendors to ensure seamless system operations, integration, and performance optimization. This role requires a mix of business analysis, system support, and application engineering skills, with a strong understanding of IT infrastructure and software development life cycles.

Key Responsibilities
✅ System Analysis & Business Support:
Collaborate with business users to gather and define system requirements.
Conduct system analysis to identify gaps, inefficiencies, and areas for process optimization.
Maintain documentation of system functionality, configurations, and updates.
✅ Application Engineering & Maintenance:
Support and maintain enterprise applications used in finance, operations, or upstream/downstream business units.
Troubleshoot application performance issues and implement fixes.
Work on system enhancements, patches, and upgrades, ensuring minimal disruption to operations.
Implement integration solutions with existing IT systems and third-party applications.
✅ Data Management & Reporting:
Develop and optimize SQL queries, stored procedures, and database structures.
Utilize Power BI, Power Automate, or other tools to create reports and automate workflows.
Ensure data integrity and security compliance in accordance with IT policies.
✅ Agile & Project Coordination:
Participate in Agile ceremonies such as backlog grooming, sprint planning, and retrospectives.
Support project planning, stakeholder meetings, and requirement prioritization.
Coordinate with cross-functional teams (developers, QA, business users) for project execution.
✅ Technical Tool Proficiency:
Work with Microsoft Teams, MS Project, Azure DevOps, and ServiceNow for project tracking and collaboration.
Assist in setting up CI/CD pipelines and DevOps processes where applicable.
Support cloud-based application deployments and optimizations (Azure, AWS).

Required Qualifications & Skills
🔹 Education & Experience:
Bachelor's degree in Computer Science, Information Systems, or related field.
5+ years of experience in IT system analysis, application engineering, or business systems support.
Experience working in Oil & Gas, Finance, or Enterprise IT environments is preferred.

🔹 Technical Skills:
Hands-on experience with enterprise applications, databases (SQL, Oracle, SAP, or similar).
Strong knowledge of Power BI, Power Automate, MS Project, and Agile methodologies.
Familiarity with ITSM tools such as ServiceNow.
Understanding of cloud-based systems (Azure, AWS) and integrations.

🔹 Soft Skills & Mindset:
Strong analytical and problem-solving abilities.
Excellent communication skills with business and technical stakeholders.
Proactive, self-motivated, and able to work with minimal supervision.
Ability to work in fast-paced, cross-functional teams within an Agile framework.

Experience required 5 > Current Experience 3. Skipping this job!
",Skipped,Not Available
4164143868,https://www.linkedin.com/jobs/view/4164143868,Pending,Unknown,2025-03-08 18:32:34.654634,Asking for Security clearance,"
Acerca del empleo
The AI Tutor role is a remote, full-time, temporary position that will last up to 6 months in duration. 
Responsibilities:
Use proprietary software applications to provide input/labels on defined projects.
Support and ensure the delivery of high-quality curated data.
Play a pivotal role in supporting and contributing to the training of new tasks, working closely with the technical staff to ensure the successful development and implementation of cutting-edge initiatives/technologies.
Interact with the technical staff to help improve the design of efficient annotation tools.
Engage in diverse writing assignments to refine generative AI models.
Key Qualifications:
Proficiency in reading and writing, both in informal and professional English.
Strong research skills, and the ability to navigate various information resources, databases, and online resources are essential.
You display outstanding communication, interpersonal, analytical, and organizational capabilities.
Solid reading comprehension skills combined with capacity to exercise autonomous judgment even when presented with limited data/material.
You have a strong passion for and commitment to technological advancements and innovation.
Preferred Qualifications:
In addition to English, you have proficiency in reading and writing in Korean, Vietnamese, Chinese, German, Russian, Italian, French, Arabic, Indonesian, Turkish, Hindi, Persian, Spanish, and/or Portuguese
You possess experience in technical writing, journalism, or a professional writing setting.
Location, Hourly, and Other Expectations:
This position is fully remote.
We are unable to provide visa sponsorship.
If you are based in the US, please note we are unable to hire in the states of Wyoming and Illinois at this time.
Team members are expected to work from 9:00 am - 5:30 pm PST for the first two weeks of training and 9:00am - 5:30pm in their own timezone thereafter.
For those who will be working from a personal device, please note your computer must be capable of running Windows 10 or macOS BigSur 11.0 or later.
Compensation and Benefits:
The pay for this role may range from $35/hour - $65/hr and, for full-time roles, benefits will include medical insurance depending on your country of residence.
Your actual pay will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.

xAI is an equal opportunity employer and does not unlawfully discriminate based on race, color, religion, ethnicity, ancestry, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, age, disability, medical conditions, genetic information, marital status, military or veteran status, or any other applicable legally protected characteristics. 
Qualified applicants with arrest or conviction records will be considered for employment in accordance with all applicable federal, state, and local laws, including the San Francisco Fair Chance Ordinance, Los Angeles County Fair Chance Ordinance for Employers, and the California Fair Chance Act. 
For Los Angeles County (unincorporated) Candidates:
xAI reasonably believes that criminal history may have a direct, adverse and negative relationship on the following job duties, potentially resulting in the withdrawal of a conditional offer of employment: 
Access to information technology systems and confidential information, including proprietary and trade secret information, and/or user data;
Interacting with internal and/or external clients and colleagues; and
Exercising sound judgment.
California Consumer Privacy Act (CCPA) Notice

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
4177364797,https://www.linkedin.com/jobs/view/4177364797,Pending,Unknown,2025-03-08 18:34:21.631217,Probably didn't find Apply button or unable to switch tabs.,"Message: 
Stacktrace:
	GetHandleVerifier [0x00CFCED3+25523]
	(No symbol) [0x00C823B4]
	(No symbol) [0x00B506E3]
	(No symbol) [0x00B98B79]
	(No symbol) [0x00B98ECB]
	(No symbol) [0x00BE1B32]
	(No symbol) [0x00BBD844]
	(No symbol) [0x00BDF273]
	(No symbol) [0x00BBD5F6]
	(No symbol) [0x00B8C55F]
	(No symbol) [0x00B8D8A4]
	GetHandleVerifier [0x01002713+3193843]
	GetHandleVerifier [0x010169E9+3276489]
	GetHandleVerifier [0x01010F0C+3253228]
	GetHandleVerifier [0x00D9B0C0+673184]
	(No symbol) [0x00C8B43D]
	(No symbol) [0x00C88568]
	(No symbol) [0x00C88709]
	(No symbol) [0x00C7AE90]
	BaseThreadInitThunk [0x76227BA9+25]
	RtlInitializeExceptionChain [0x776DC2EB+107]
	RtlClearBits [0x776DC26F+191]
",Easy Applied,Not Available
4094712135,https://www.linkedin.com/jobs/view/4094712135,Pending,Unknown,2025-03-08 18:42:44.849432,Asking for Security clearance,"
Acerca del empleo
UNIR México es una universidad mexicana de carácter privado aprobada ante la Secretaría de Educación Pública (SEP), forma parte del Grupo Proeduca, líder europeo en formación en línea que se ha consolidado como solución educativa para miles de personas en todo el mundo.

Nuestra vocación es ser un referente académico para profesores y alumnos a nivel internacional. La gran mayoría de nuestros alumnos extranjeros realiza estudios de Postgrado y se encuentran hasta en 79 países diferentes a nivel global.

Te invitamos a formar parte de nuestro claustro académico

Buscamos docentes en diferentes áreas de conocimiento:

Facultad de Empresa: MBA, Negocios Internacionales, Data Analytics, Neuromarketing, Gestión de Riesgos Financieros, Gestión Minera, Emprendimiento y Negocios Digitales.

Facultad de Educación: Psicopedagogía, Necesidades Educativas del Desarrollo, Tecnología Educativa, Educación Inclusiva e Intercultural.

Escuela Superior de Ingeniería y Tecnología: Inteligencia artificial, Didáctica de la Ciencia, Tecnología, Ingeniería y Matemáticas, Desarrollo y Operaciones de Software (DeVops), Industria 4.0, Diseño Industrial, Innovación y Desarrollo de Producto, Gerencia de Operaciones y Logística, Seguridad y Salud Ocupacional,

Facultad de Ciencias Sociales y Humanidades: Gerencia Social, Teatro.

Facultad de Ciencias de la Salud: Psicología, Gerencia de Servicios de Salud.

Facultad de Derecho: Derecho Penal, Derecho de la Empresa, Gestión Tributaria, Dirección Pública

Coordinador: Maestría en Intervención social: Maestría, preferiblemente con doctorado (cédula profesional). Trabajo Social, Intervención Educativa, Sociología, Antropología, Desarrollo comunitario, Desarrollo y Gestión Interculturales.

Requisitos
Título Profesional Universitario con cédula: (Imprescindible).
Grado académico de Maestro con cédula (Imprescindible).
Doctorado con cédula (Deseable)
Experiencia docente y/o profesional comprobada.
¿Qué te ofrecemos?
Impartir clases, en la modalidad a distancia, desde la ciudad en la que residas a tiempo completo o parcial.
Asesoría de tesis a estudiantes a nivel postgrado.
Oportunidad de desarrollo académico e investigador dentro de una Universidad en expansión.
Publicar bajo la filiación principal de nuestra Universidad. Sumarte a proyectos de investigación de cooperación internacional.

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
4159011110,https://www.linkedin.com/jobs/view/4159011110,Pending,Unknown,2025-03-08 18:52:16.305252,Asking for Security clearance,"
Acerca del empleo
Line of Service

Assurance

Industry/Sector

Not Applicable

Specialism

Risk

Management Level

Associate

Job Description & Summary

Convocamos a profesionales interesados en desarrollarse en el Desarrollo de Auditorías Basadas en Datos y Auditoría Continua para incorporarse nuestro equipo de GRC Assurance Services. Estamos enfocados en el desarrollo e implementación de soluciones de aseguramiento de procesos de negocio y tecnología para empresas de primera línea. Nuestro equipo multidisciplinario utiliza la tecnología, el conocimiento de negocios y las ciencias de datos para ayudar a nuestros clientes a gestionar los riesgos de manera inteligente.

Desafíos del puesto: 

Transformación de datos.
Reprocesos de grandes volúmenes de datos.
Monitoreo continuo.
Desarrollo de ETLs
Desarrollo de tableros de visualización, indicadores y controles de auditoría continua. 

Requisitos:

Estudiantes de Carreras de Sistemas, Ciencias de Datos, Actuarial, Matemática, Administración de Empresas, Contabilidad o afines.
Conocimientos en programación con Python (trabajando con librería Panda) y Power BI.
Ingles intermedio.
Se requiere autonomía, capacidad de trabajo en equipo con profesionales de múltiples disciplinas, atención por los detalles, rigurosidad y método en el manejo de datos.

Horario: Full time (9 a 18hs)

Lugar de trabajo:  Vicente López/Puerto Madero

Modalidad de trabajo: Híbrido

Comprender la importancia de la correcta gestión de la información
Conocimiento en seguridad de la información y protección de datos
Correcta gestión de la seguridad de la información 

Education (if blank, degree and/or field of study not specified)

Degrees/Field of Study required:

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

Optional Skills

Accepting Feedback, Accepting Feedback, Active Listening, Artificial Intelligence (AI) Platform, Auditing, Auditing Methodologies, Client Management, Communication, Compliance Program Implementation, Data Analysis and Interpretation, Data Ingestion, Data Modeling, Data Quality, Data Security, Data Transformation, Data Visualization, Emotional Regulation, Empathy, External Audit, Financial Reporting, Generally Accepted Auditing Standards (GAAS), Governance Framework, Inclusion, Information Security, Intellectual Curiosity {+ 17 more}

Desired Languages (If blank, desired languages not specified)

Travel Requirements

Not Specified

Available for Work Visa Sponsorship?

No

Government Clearance Required?

No

Job Posting End Date

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
